crime_head,cases_pending_prev,cases_reported,cases_reopened,total_for_inv,not_investigated,transferred,withdrawn,fr_non_cognizable,fr_false,fr_mistake,fr_insufficient,fr_abated,fr_total,cs_from_prev,cs_from_year,cs_total,total_disposed,quashed,stayed,cases_pending_end,chargesheeting_rate,pendency_pct,crime_head_norm,year,category,fr_rate,fr_false_rate,fr_insufficient_rate,pendency_load,reopened_rate,transferred_rate,cs_carryover_rate,cs_rate_yoy,log_cases_reported,log_total_for_inv,severity_ordinal,cat_Miscellaneous IPC Crimes,cat_Offences Affecting the Human Body,cat_Offences Relating to Documents & Property Marks,cat_Offences against Property,cat_Offences against Public Tranquillity,cat_Offences against the State,year_feature
Abetment of Suicide,4282,8324,16,12622,0,20,3,1,499,166,365,25,1056,2327,4452,6779,7855.0,19,20,4745,86.3,37.6,abetment of suicide,2018,Offences Affecting the Human Body,0.13443666454487588,0.06352641629535327,0.046467218332272436,0.3392489304389162,0.0019221528111484864,0.001584534938995405,0.3432659684319221,,9.027018314848645,9.443275825752862,5,False,True,False,False,False,False,0
Abetment of Suicide,4597,8315,15,12927,0,17,0,10,548,210,264,16,1048,2368,4315,6683,7748.0,29,18,5150,86.3,39.8,abetment of suicide,2019,Offences Affecting the Human Body,0.1352607124419205,0.07072792978833248,0.034073309241094474,0.3556122843660555,0.0018039687312086591,0.0013150769706815192,0.354331886877151,0.0,9.025936648977904,9.467150780760877,5,False,True,False,False,False,False,1
Abetment of Suicide,5173,8816,21,14010,2,19,2,2,556,214,327,32,1131,2309,4482,6791,7943.0,21,16,6044,85.5,43.1,abetment of suicide,2020,Offences Affecting the Human Body,0.14238952536824878,0.0699987410298376,0.041168324310713836,0.36923625981441827,0.002382032667876588,0.0013561741613133476,0.3400088352230894,-0.7999999999999972,9.084436955087027,9.547598014371232,5,False,True,False,False,False,False,2
Abetment of Suicide,6049,9361,35,15445,0,8,0,11,625,242,451,24,1353,2909,4897,7806,9167.0,16,22,6262,85.2,40.5,abetment of suicide,2021,Offences Affecting the Human Body,0.14759463292243918,0.0681793389331297,0.049198210974146395,0.39164778245386855,0.0037389167823950434,0.0005179669796050502,0.37266205482961823,-0.29999999999999716,9.144414221860016,9.64510534912921,5,False,True,False,False,False,False,3
Acid Attack,96,228,0,324,0,0,0,4,13,6,23,0,46,36,122,158,204.0,1,0,119,77.5,36.7,acid attack,2018,Offences Affecting the Human Body,0.22549019607843138,0.06372549019607843,0.11274509803921569,0.2962962962962963,0.0,0.0,0.22784810126582278,,5.43372200355424,5.783825182329737,5,False,True,False,False,False,False,0
Acid Attack,118,240,0,358,0,0,0,2,7,4,23,1,37,52,147,199,236.0,1,0,121,84.3,33.8,acid attack,2019,Offences Affecting the Human Body,0.15677966101694915,0.029661016949152543,0.09745762711864407,0.329608938547486,0.0,0.0,0.2613065326633166,6.799999999999997,5.484796933490655,5.883322388488279,5,False,True,False,False,False,False,1
Acid Attack,121,182,0,303,0,0,0,0,11,2,14,1,28,51,118,169,197.0,0,0,106,85.8,35.0,acid attack,2020,Offences Affecting the Human Body,0.14213197969543148,0.05583756345177665,0.07106598984771574,0.39933993399339934,0.0,0.0,0.30177514792899407,1.5,5.209486152841421,5.717027701406222,5,False,True,False,False,False,False,2
Acid Attack,106,176,0,282,0,0,0,1,9,7,13,0,30,45,113,158,188.0,0,1,94,84.0,33.3,acid attack,2021,Offences Affecting the Human Body,0.1595744680851064,0.047872340425531915,0.06914893617021277,0.375886524822695,0.0,0.0,0.2848101265822785,-1.7999999999999972,5.176149732573829,5.645446897643238,5,False,True,False,False,False,False,3
Affray,651,7776,0,8427,0,0,0,23,5,6,35,0,69,450,5174,5624,5693.0,0,2,2734,98.8,32.4,affray,2018,Offences against Public Tranquillity,0.012120147549622344,0.0008782715615668365,0.006147900930967855,0.07725169099323603,0.0,0.0,0.08001422475106686,,8.958925938694943,9.03931477492408,3,False,False,False,False,True,False,0
Affray,2734,7148,1,9883,0,0,0,0,6,7,10,0,23,2520,5474,7994,8017.0,0,40,1866,99.7,18.9,affray,2019,Offences against Public Tranquillity,0.002868903579892728,0.0007484096295372333,0.0012473493825620556,0.276636648790853,0.0001398992725237829,0.0,0.31523642732049034,0.9000000000000057,8.874727765766853,9.1986725671085,3,False,False,False,False,True,False,1
